Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-09,13.0600004196167,13.0600004196167,10.199999809265137,10.550000190734863,307049,0,0
2020-12-10,10.5,10.694000244140625,10.449999809265137,10.449999809265137,252700,0,0
2020-12-11,10.600000381469727,10.687999725341797,10.420000076293945,10.447999954223633,83474,0,0
2020-12-14,10.5,10.550000190734863,10.303999900817871,10.303999900817871,37071,0,0
2020-12-15,10.5,10.697999954223633,10.446000099182129,10.446000099182129,259504,0,0
2020-12-16,10.494000434875488,10.5,10.446000099182129,10.45199966430664,153708,0,0
2020-12-17,10.5,10.5,10.449999809265137,10.449999809265137,58544,0,0
2020-12-18,10.472000122070312,10.498000144958496,10.411999702453613,10.449999809265137,87854,0,0
2020-12-21,10.468000411987305,10.470000267028809,10.354000091552734,10.354000091552734,27515,0,0
2020-12-22,10.470000267028809,10.5,10.402000427246094,10.468000411987305,7326,0,0
2020-12-23,10.630000114440918,10.630000114440918,10.399999618530273,10.489999771118164,17393,0,0
2020-12-24,10.5,11.300000190734863,10.5,10.550000190734863,17266,0,0
2020-12-28,11.5,11.5,10.77400016784668,10.800000190734863,32743,0,0
2020-12-29,11.140000343322754,11.350000381469727,10.854000091552734,11.0,54769,0,0
2020-12-30,11.149999618530273,11.149999618530273,10.5,10.838000297546387,14443,0,0
2020-12-31,10.84000015258789,10.998000144958496,10.600000381469727,10.668000221252441,6745,0,0
2021-01-04,10.998000144958496,11.0,10.800000190734863,10.850000381469727,14974,0,0
2021-01-05,11.25,11.25,10.770000457763672,10.850000381469727,16427,0,0
2021-01-06,10.859999656677246,10.899999618530273,10.649999618530273,10.800000190734863,18556,0,0
2021-01-07,10.890000343322754,10.890000343322754,10.70199966430664,10.734000205993652,20481,0,0
2021-01-08,10.947999954223633,10.947999954223633,10.460000038146973,10.460000038146973,22382,0,0
2021-01-11,10.5,10.633999824523926,10.302000045776367,10.302000045776367,102359,0,0
2021-01-12,10.34000015258789,10.586000442504883,10.34000015258789,10.428000450134277,15944,0,0
2021-01-13,10.5,10.5,10.399999618530273,10.430000305175781,10992,0,0
2021-01-14,10.491999626159668,10.491999626159668,10.420000076293945,10.430000305175781,4887,0,0
2021-01-15,10.579999923706055,10.579999923706055,10.331999778747559,10.35200023651123,27996,0,0
2021-01-18,10.449999809265137,10.449999809265137,10.354000091552734,10.399999618530273,16578,0,0
2021-01-19,10.531999588012695,10.531999588012695,10.404000282287598,10.449999809265137,17330,0,0
2021-01-20,10.5,10.668000221252441,10.45199966430664,10.454000473022461,22219,0,0
2021-01-21,10.59000015258789,10.670000076293945,10.449999809265137,10.5,74809,0,0
2021-01-22,10.670000076293945,10.670000076293945,10.456000328063965,10.489999771118164,11934,0,0
2021-01-25,10.489999771118164,10.779999732971191,10.460000038146973,10.5,60659,0,0
2021-01-26,10.550000190734863,10.697999954223633,10.5,10.5,33624,0,0
2021-01-27,10.5,10.550000190734863,10.350000381469727,10.369999885559082,79661,0,0
2021-01-28,10.399999618530273,10.498000144958496,10.331999778747559,10.331999778747559,26436,0,0
2021-01-29,10.342000007629395,10.435999870300293,10.319999694824219,10.435999870300293,115373,0,0
2021-02-01,10.402000427246094,10.491999626159668,10.342000007629395,10.399999618530273,3728,0,0
2021-02-02,10.449999809265137,10.449999809265137,10.359999656677246,10.381999969482422,6481,0,0
2021-02-03,10.383999824523926,10.39799976348877,10.359999656677246,10.359999656677246,3028,0,0
2021-02-04,10.392000198364258,10.399999618530273,10.359999656677246,10.359999656677246,17965,0,0
2021-02-05,10.395999908447266,10.430000305175781,10.369999885559082,10.399999618530273,22470,0,0
2021-02-08,10.399999618530273,10.776000022888184,10.380000114440918,10.444000244140625,40012,0,0
2021-02-09,10.649999618530273,10.763999938964844,10.501999855041504,10.5600004196167,45101,0,0
2021-02-10,10.75,10.75,10.579999923706055,10.59000015258789,31294,0,0
2021-02-11,10.739999771118164,10.739999771118164,10.454000473022461,10.460000038146973,16662,0,0
2021-02-12,10.5,10.649999618530273,10.399999618530273,10.479999542236328,32066,0,0
2021-02-15,10.600000381469727,10.60200023651123,10.4399995803833,10.5600004196167,24837,0,0
2021-02-16,10.720000267028809,10.84000015258789,10.446000099182129,10.482000350952148,19199,0,0
2021-02-17,10.699999809265137,10.699999809265137,10.5,10.5600004196167,16757,0,0
2021-02-18,10.5600004196167,10.5600004196167,10.449999809265137,10.449999809265137,23922,0,0
2021-02-19,10.470000267028809,10.697999954223633,10.449999809265137,10.460000038146973,7276,0,0
2021-02-22,10.666000366210938,10.666000366210938,10.4399995803833,10.45199966430664,57763,0,0
2021-02-23,10.5,10.550000190734863,10.369999885559082,10.550000190734863,23310,0,0
2021-02-24,10.550000190734863,10.597999572753906,10.428000450134277,10.539999961853027,5842,0,0
2021-02-25,10.539999961853027,10.541999816894531,10.402000427246094,10.402000427246094,13019,0,0
2021-02-26,10.392000198364258,10.5,10.34000015258789,10.399999618530273,21657,0,0
2021-03-01,10.456000328063965,10.456000328063965,10.354000091552734,10.399999618530273,7698,0,0
2021-03-02,10.430000305175781,10.449999809265137,10.333999633789062,10.333999633789062,8637,0,0
2021-03-03,10.5,10.5,10.13599967956543,10.17199993133545,18088,0,0
2021-03-04,10.199999809265137,10.394000053405762,10.100000381469727,10.100000381469727,14976,0,0
2021-03-05,10.210000038146973,10.210000038146973,9.965999603271484,10.050000190734863,66796,0,0
2021-03-08,9.979999542236328,10.300000190734863,9.979999542236328,10.100000381469727,17690,0,0
2021-03-09,10.03600025177002,10.149999618530273,10.031999588012695,10.039999961853027,59209,0,0
2021-03-10,10.0600004196167,10.093999862670898,10.0,10.0,133153,0,0
2021-03-11,10.039999961853027,10.25,10.001999855041504,10.25,30047,0,0
2021-03-12,10.350000381469727,10.350000381469727,10.10200023651123,10.270000457763672,1870,0,0
2021-03-15,10.477999687194824,10.477999687194824,10.199999809265137,10.300000190734863,13563,0,0
2021-03-16,10.494000434875488,10.494000434875488,10.100000381469727,10.100000381469727,32766,0,0
2021-03-17,10.300000190734863,10.300000190734863,9.979999542236328,10.0,44069,0,0
2021-03-18,10.288000106811523,10.288000106811523,10.0,10.0,22927,0,0
2021-03-19,10.010000228881836,10.079999923706055,10.0,10.0,18951,0,0
2021-03-22,10.050000190734863,10.0600004196167,10.0,10.0,43019,0,0
2021-03-23,10.0,10.050000190734863,10.0,10.050000190734863,15942,0,0
2021-03-24,10.197999954223633,10.197999954223633,9.979999542236328,9.986000061035156,15267,0,0
2021-03-25,9.989999771118164,10.050000190734863,9.857000350952148,9.857000350952148,6525,0,0
2021-03-26,9.8100004196167,10.0,9.630999565124512,9.895999908447266,20072,0,0
2021-03-29,10.07800006866455,10.07800006866455,9.899999618530273,9.989999771118164,3270,0,0
2021-03-30,9.90999984741211,9.989999771118164,9.899999618530273,9.989999771118164,3302,0,0
2021-03-31,9.989999771118164,10.050000190734863,9.899999618530273,9.986000061035156,2717,0,0
2021-04-01,9.899999618530273,10.09000015258789,9.89900016784668,9.927000045776367,33385,0,0
2021-04-06,10.0,10.180000305175781,9.927000045776367,10.079999923706055,7767,0,0
2021-04-07,10.100000381469727,10.15999984741211,10.0,10.0,52307,0,0
2021-04-08,10.0,10.095999717712402,10.0,10.0,5434,0,0
2021-04-09,10.095999717712402,10.095999717712402,10.0,10.022000312805176,46151,0,0
2021-04-12,10.100000381469727,10.178000450134277,10.050000190734863,10.119999885559082,3399,0,0
2021-04-13,10.0600004196167,10.446000099182129,10.052000045776367,10.446000099182129,6385,0,0
2021-04-14,10.399999618530273,10.399999618530273,10.121999740600586,10.39799976348877,1741,0,0
2021-04-15,10.399999618530273,10.399999618530273,10.149999618530273,10.279999732971191,4047,0,0
2021-04-16,10.152000427246094,10.277999877929688,10.10200023651123,10.112000465393066,4763,0,0
2021-04-19,10.187999725341797,10.1899995803833,10.062000274658203,10.062000274658203,838,0,0
2021-04-20,10.100000381469727,10.185999870300293,10.050000190734863,10.050000190734863,4709,0,0
2021-04-21,10.187999725341797,10.187999725341797,10.053999900817871,10.079999923706055,636,0,0
2021-04-22,10.071999549865723,10.166000366210938,10.071999549865723,10.118000030517578,1757,0,0
2021-04-23,10.119999885559082,10.157999992370605,10.076000213623047,10.13599967956543,1028,0,0
2021-04-26,10.100000381469727,10.13599967956543,10.069999694824219,10.079999923706055,3565,0,0
2021-04-27,10.100000381469727,10.100000381469727,10.050000190734863,10.100000381469727,4698,0,0
2021-04-28,10.050000190734863,10.100000381469727,10.050000190734863,10.052000045776367,19716,0,0
2021-04-29,10.088000297546387,10.092000007629395,10.0600004196167,10.092000007629395,2828,0,0
2021-04-30,10.092000007629395,10.100000381469727,10.062000274658203,10.100000381469727,6626,0,0
2021-05-03,10.050000190734863,10.088000297546387,10.039999961853027,10.062000274658203,5907,0,0
2021-05-04,10.130000114440918,10.130000114440918,10.001999855041504,10.010000228881836,6768,0,0
2021-05-05,10.0,10.097999572753906,9.970999717712402,10.0,10870,0,0
2021-05-06,10.001999855041504,10.097999572753906,10.001999855041504,10.097999572753906,7077,0,0
2021-05-07,10.069999694824219,10.069999694824219,10.0,10.031999588012695,12186,0,0
2021-05-10,10.100000381469727,10.100000381469727,10.0,10.079999923706055,11889,0,0
2021-05-11,10.100000381469727,10.100000381469727,9.979999542236328,10.022000312805176,4566,0,0
2021-05-12,9.970999717712402,10.100000381469727,9.970999717712402,10.100000381469727,8683,0,0
2021-05-13,10.0,10.137999534606934,10.0,10.093999862670898,3797,0,0
2021-05-14,10.100000381469727,10.100000381469727,10.0,10.093999862670898,4403,0,0
2021-05-17,10.079999923706055,10.081999778747559,9.970000267028809,10.067999839782715,6560,0,0
2021-05-18,9.993000030517578,10.062000274658203,9.991999626159668,9.991999626159668,4794,0,0
2021-05-19,10.0,10.050000190734863,9.989999771118164,10.0,15985,0,0
2021-05-20,9.989999771118164,10.039999961853027,9.949999809265137,10.0,12817,0,0
2021-05-21,10.0,10.0,9.968000411987305,9.970000267028809,20313,0,0
2021-05-24,9.968999862670898,10.026000022888184,9.949999809265137,9.949999809265137,14121,0,0
2021-05-25,9.961000442504883,10.086000442504883,9.949999809265137,10.086000442504883,5345,0,0
2021-05-26,9.951000213623047,10.0,9.899999618530273,9.960000038146973,8043,0,0
2021-05-27,9.960000038146973,10.074000358581543,9.90999984741211,9.949999809265137,18404,0,0
2021-05-28,10.0,10.0,9.9399995803833,9.960000038146973,13529,0,0
2021-05-31,10.0,10.057999610900879,9.949999809265137,9.949999809265137,1231,0,0
2021-06-01,9.920999526977539,10.0,9.920999526977539,9.949999809265137,10528,0,0
2021-06-02,9.949999809265137,9.949999809265137,9.84000015258789,9.84000015258789,5053,0,0
2021-06-03,9.946999549865723,9.949999809265137,9.904000282287598,9.90999984741211,21997,0,0
2021-06-04,9.920000076293945,9.949999809265137,9.899999618530273,9.90999984741211,18461,0,0
2021-06-07,9.961000442504883,9.99899959564209,9.880000114440918,9.975000381469727,7944,0,0
2021-06-08,9.913999557495117,9.95300006866455,9.89900016784668,9.89900016784668,9131,0,0
2021-06-09,9.99899959564209,10.0,9.895000457763672,9.99899959564209,5871,0,0
2021-06-10,9.901000022888184,9.99899959564209,9.901000022888184,9.99899959564209,4101,0,0
2021-06-11,9.920000076293945,10.0,9.906999588012695,10.0,8267,0,0
2021-06-14,10.0,10.0,9.90999984741211,10.0,11104,0,0
2021-06-15,9.960000038146973,9.98900032043457,9.949999809265137,9.949999809265137,1248,0,0
2021-06-16,9.949999809265137,9.949999809265137,9.914999961853027,9.914999961853027,294,0,0
2021-06-17,9.901000022888184,9.901000022888184,9.800000190734863,9.800000190734863,8283,0,0
2021-06-18,9.800000190734863,9.86400032043457,9.800000190734863,9.817999839782715,8811,0,0
2021-06-21,9.86400032043457,9.869999885559082,9.800000190734863,9.869999885559082,5124,0,0
2021-06-22,9.89799976348877,10.0,9.850000381469727,10.0,21251,0,0
2021-06-23,9.850000381469727,9.958999633789062,9.850000381469727,9.850000381469727,3993,0,0
2021-06-24,9.866999626159668,9.99899959564209,9.866999626159668,9.984999656677246,3101,0,0
2021-06-25,9.850000381469727,9.949999809265137,9.8149995803833,9.949999809265137,4995,0,0
2021-06-28,9.949999809265137,9.984999656677246,9.949999809265137,9.984999656677246,7868,0,0
2021-06-29,9.949999809265137,9.949999809265137,9.843000411987305,9.920000076293945,10830,0,0
2021-06-30,9.88700008392334,9.95199966430664,9.88700008392334,9.95199966430664,98,0,0
2021-07-01,9.956999778747559,9.99899959564209,9.906000137329102,9.906000137329102,685,0,0
2021-07-02,9.90999984741211,9.967000007629395,9.90999984741211,9.918000221252441,1552,0,0
2021-07-05,9.920999526977539,9.920999526977539,9.760000228881836,9.82699966430664,2890,0,0
